lat,lon,dbh_in,condition,height_m,match_distance_m
40.780224,-73.977586,14,Fair,14.1,1.69
40.784802,-73.950649,22,Good,14.4,3.24
40.790852,-73.950755,5,Fair,17.3,4.13
40.788019,-73.952208,9,Fair,8.7,0.87
40.792425,-73.950244,4,Dead,12.1,3.09
40.790501,-73.950287,5,Poor,18.1,5.28
40.790699,-73.950760,3,Fair,3.9,0.86
40.789951,-73.950298,8,Good,5.8,1.72
40.789545,-73.949912,16,Dead,9.1,1.99
40.793105,-73.951868,8,Good,9.0,2.78
40.771543,-73.954781,0,Dead,12.8,0.76
40.789502,-73.950625,8,Good,5.1,1.27
40.789319,-73.949377,16,Poor,11.1,1.40
40.779079,-73.974862,18,Unknown,12.1,1.50
40.778176,-73.976664,13,Fair,14.9,1.76
40.775024,-73.949229,0,Dead,13.4,19.33
40.774598,-73.980205,17,Poor,17.9,1.23
40.793770,-73.949259,6,Good,4.2,8.75
40.776471,-73.954359,13,Good,11.8,1.82
40.784831,-73.950459,14,Good,10.5,1.50
40.778711,-73.979905,14,Dead,14.0,0.10
40.784357,-73.977570,9,Good,7.0,18.97
40.788739,-73.951179,4,Fair,5.6,0.91
40.788120,-73.952448,9,Fair,9.6,1.26
40.771680,-73.955100,17,Good,17.2,2.96
40.790024,-73.950245,7,Good,6.1,1.20
40.790913,-73.950899,4,Dead,5.2,1.03
40.791992,-73.971998,14,Fair,12.4,1.86
40.789592,-73.977193,22,Poor,18.5,1.82
40.790507,-73.977553,5,Fair,12.0,3.43
40.790623,-73.951563,3,Poor,2.5,0.91
40.792078,-73.950737,16,Good,11.5,1.86
40.788531,-73.973105,19,Fair,15.5,1.99
40.790618,-73.950565,5,Good,6.0,0.52
40.765452,-73.962454,12,Good,12.2,1.42
40.771500,-73.960821,19,Fair,18.3,1.92
40.784168,-73.979748,9,Fair,10.1,3.10
40.775188,-73.957210,22,Poor,15.8,1.48
40.772224,-73.958944,24,Dead,11.9,1.17
40.794786,-73.969557,13,Good,7.9,2.22
40.771246,-73.952354,14,Dead,11.1,2.75
40.788686,-73.973235,18,Fair,14.1,2.61
40.765283,-73.962056,14,Good,12.8,2.42
40.793115,-73.972914,14,Fair,8.4,1.49
40.776152,-73.978062,16,Poor,8.7,1.34
40.789693,-73.971676,18,Fair,2.2,4.86
40.779485,-73.975830,17,Good,15.4,1.37
40.788179,-73.980161,16,Good,13.8,4.04
40.788641,-73.978154,18,Dead,15.5,3.19
40.794536,-73.969258,10,Good,9.1,0.39
40.793934,-73.967834,11,Good,10.7,1.13
40.766347,-73.958689,8,Fair,12.3,3.38
40.771142,-73.966183,16,Dead,10.3,1.19
40.780125,-73.981571,0,Dead,12.3,1.83
40.766449,-73.952575,3,Good,10.5,0.16
40.776406,-73.978663,11,Good,10.2,2.49
40.766587,-73.959260,12,Fair,13.1,3.03
40.777184,-73.962205,7,Good,5.9,1.79
40.776805,-73.957656,5,Fair,6.1,1.20
40.788315,-73.972350,15,Good,15.9,1.37
40.788042,-73.980084,9,Good,9.8,1.01
40.766082,-73.958061,17,Good,16.3,2.21
40.788559,-73.976301,10,Good,12.8,3.37
40.783307,-73.980362,14,Good,14.4,2.19
40.768998,-73.968865,10,Dead,28.5,3.53
